id,external_id,name,equipment,muscle,category,has_gif,gif_url,illustration_slug,match_method,frame1,frame2,frame3,status
"1058","serratus-anterior/dumbbell-incline-shoulder-raise","Dumbbell Incline Shoulder Raise","dumbbell","serratus-anterior","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/serratus-anterior/dumbbell-incline-shoulder-raise.gif","","","","","","gif_only"
"1059","serratus-anterior/incline-scapula-push-up","Incline Scapula Push Up","bodyweight","serratus-anterior","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/serratus-anterior/incline-scapula-push-up.gif","incline-push-up","fuzzy(0.75)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/incline-push-up/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/incline-push-up/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/incline-push-up/frame-3.svg","both"
"1060","serratus-anterior/scapula-push-up","Scapula Push Up","bodyweight","serratus-anterior","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/serratus-anterior/scapula-push-up.gif","push-up","fuzzy(0.67)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/push-up/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/push-up/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/push-up/frame-3.svg","both"
"1061","serratus-anterior/smith-incline-shoulder-raises","Smith Incline Shoulder Raises","smith","serratus-anterior","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/serratus-anterior/smith-incline-shoulder-raises.gif","","","","","","gif_only"
"1062","spine/back-extension-on-exercise-ball","Back Extension On Exercise Ball","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/back-extension-on-exercise-ball.gif","","","","","","gif_only"
"1063","spine/band-straight-leg-deadlift","Band Straight Leg Deadlift","band","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/band-straight-leg-deadlift.gif","","","","","","gif_only"
"1064","spine/exercise-ball-back-extension-with-arms-extended","Exercise Ball Back Extension With Arms Extended","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/exercise-ball-back-extension-with-arms-extended.gif","","","","","","gif_only"
"1065","spine/exercise-ball-back-extension-with-hands-behind-head","Exercise Ball Back Extension With Hands Behind Head","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/exercise-ball-back-extension-with-hands-behind-head.gif","","","","","","gif_only"
"1066","spine/exercise-ball-back-extension-with-knees-off-ground","Exercise Ball Back Extension With Knees Off Ground","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/exercise-ball-back-extension-with-knees-off-ground.gif","","","","","","gif_only"
"1067","spine/exercise-ball-back-extension-with-rotation","Exercise Ball Back Extension With Rotation","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/exercise-ball-back-extension-with-rotation.gif","","","","","","gif_only"
